SupplierName,SupplierTransactionID,SupplierID,PurchaseOrderID,SupplierInvoiceNumber,TransactionDate,AmountExcludingTax,TaxAmount,FinalizationDate
"Fabrikam, Inc.",47786,4,321,4096,7/11/2013,209166,31374.9,7/15/2013
"Litware, Inc.",47789,7,322,3976,7/11/2013,16606.8,2491.02,7/15/2013
"Fabrikam, Inc.",48188,4,323,4781,7/12/2013,210534,31580.1,7/15/2013
"Litware, Inc.",48191,7,324,7169,7/12/2013,22886,3432.9,7/15/2013
"Fabrikam, Inc.",48579,4,325,6669,7/15/2013,210306,31545.9,7/15/2013
"Litware, Inc.",48582,7,326,4335,7/15/2013,22052.4,3307.86,7/15/2013
"Fabrikam, Inc.",48585,4,327,5652,7/15/2013,1848,277.2,7/15/2013
"Litware, Inc.",48587,7,328,9140,7/15/2013,76.8,11.52,7/15/2013
"Fabrikam, Inc.",48994,4,329,2069,7/16/2013,215178,32276.7,7/22/2013
"Litware, Inc.",48997,7,330,887,7/16/2013,23012,3451.8,7/22/2013
"Fabrikam, Inc.",49410,4,331,7006,7/17/2013,215970,32395.5,7/22/2013
"Litware, Inc.",49413,7,332,1809,7/17/2013,22732.4,3409.86,7/22/2013
"Fabrikam, Inc.",49846,4,333,9942,7/18/2013,217032,32554.8,7/22/2013
"Litware, Inc.",49849,7,334,5277,7/18/2013,22469.2,3370.38,7/22/2013
"Fabrikam, Inc.",50153,4,335,2320,7/19/2013,220422,33063.3,7/22/2013
"Litware, Inc.",50156,7,336,1729,7/19/2013,22052.4,3307.86,7/22/2013
"Fabrikam, Inc.",50690,4,337,5836,7/22/2013,221862,33279.3,7/22/2013
"Litware, Inc.",50693,7,338,9502,7/22/2013,21942.8,3291.42,7/22/2013
"Fabrikam, Inc.",50696,4,339,2457,7/22/2013,1080,162,7/22/2013
"Fabrikam, Inc.",50925,4,340,8081,7/23/2013,222114,33317.1,7/29/2013
"Litware, Inc.",50928,7,341,5628,7/23/2013,21301.2,3195.18,7/29/2013
"Fabrikam, Inc.",51357,4,342,9288,7/24/2013,226920,34038,7/29/2013
"Litware, Inc.",51360,7,343,9361,7/24/2013,24504,3675.6,7/29/2013
"Fabrikam, Inc.",51678,4,344,3893,7/25/2013,230052,34507.8,7/29/2013
"Litware, Inc.",51681,7,345,5054,7/25/2013,26165.6,3924.84,7/29/2013
"Fabrikam, Inc.",52009,4,346,1477,7/26/2013,232230,34834.5,7/29/2013
"Litware, Inc.",52012,7,347,7088,7/26/2013,27679.2,4151.88,7/29/2013
"Fabrikam, Inc.",52423,4,348,5022,7/29/2013,233940,35091,7/29/2013
"Litware, Inc.",52426,7,349,7649,7/29/2013,27300.8,4095.12,7/29/2013
"Fabrikam, Inc.",52431,4,350,5415,7/29/2013,2394,359.1,7/29/2013
"Fabrikam, Inc.",52606,4,351,2010,7/30/2013,236802,35520.3,8/5/2013
"Litware, Inc.",52609,7,352,8065,7/30/2013,26467.2,3970.08,8/5/2013
"Fabrikam, Inc.",52999,4,353,8497,7/31/2013,241122,36168.3,8/5/2013
"Litware, Inc.",53002,7,354,1827,7/31/2013,26280.8,3942.12,8/5/2013
"Fabrikam, Inc.",53296,4,355,2727,8/1/2013,241746,36261.9,8/5/2013
"Litware, Inc.",53299,7,356,223,8/1/2013,25864,3879.6,8/5/2013
"Fabrikam, Inc.",53485,4,357,3037,8/2/2013,242508,36376.2,8/5/2013
"Litware, Inc.",53488,7,358,5381,8/2/2013,26467.2,3970.08,8/5/2013
"Fabrikam, Inc.",54042,4,359,4065,8/5/2013,245586,36837.9,8/5/2013
"Litware, Inc.",54045,7,360,9534,8/5/2013,27827.2,4174.08,8/5/2013
"Fabrikam, Inc.",54048,4,361,5895,8/5/2013,1836,275.4,8/5/2013
"Litware, Inc.",54050,7,362,8299,8/5/2013,680,102,8/5/2013
"Fabrikam, Inc.",54475,4,363,1716,8/6/2013,249138,37370.7,8/12/2013
"Litware, Inc.",54478,7,364,9387,8/6/2013,28616.8,4292.52,8/12/2013
"Fabrikam, Inc.",54753,4,365,4732,8/7/2013,250158,37523.7,8/12/2013
"Litware, Inc.",54756,7,366,8794,8/7/2013,28200,4230,8/12/2013
"Fabrikam, Inc.",54992,4,367,2003,8/8/2013,251172,37675.8,8/12/2013
"Litware, Inc.",54995,7,368,4694,8/8/2013,28408.4,4261.26,8/12/2013
"Fabrikam, Inc.",55263,4,369,296,8/9/2013,252630,37894.5,8/12/2013
"Litware, Inc.",55266,7,370,8948,8/9/2013,28414,4262.1,8/12/2013
"Fabrikam, Inc.",55719,4,371,6666,8/12/2013,252972,37945.8,8/12/2013
"Litware, Inc.",55722,7,372,4395,8/12/2013,30377.2,4556.58,8/12/2013
"Fabrikam, Inc.",55725,4,373,3351,8/12/2013,564,84.6,8/12/2013
"Litware, Inc.",55727,7,374,4100,8/12/2013,76.8,11.52,8/12/2013
"Fabrikam, Inc.",56077,4,375,8234,8/13/2013,255156,38273.4,8/19/2013
"Litware, Inc.",56080,7,376,6580,8/13/2013,30624,4593.6,8/19/2013
"Fabrikam, Inc.",56294,4,377,3731,8/14/2013,256578,38486.7,8/19/2013
"Litware, Inc.",56297,7,378,4391,8/14/2013,30207.2,4531.08,8/19/2013
"Fabrikam, Inc.",56689,4,379,5317,8/15/2013,262050,39307.5,8/19/2013
"Litware, Inc.",56692,7,380,6649,8/15/2013,31441.2,4716.18,8/19/2013
"Fabrikam, Inc.",56871,4,381,5728,8/16/2013,262242,39336.3,8/19/2013
"Litware, Inc.",56874,7,382,6926,8/16/2013,31370,4705.5,8/19/2013
"Fabrikam, Inc.",57231,4,383,4460,8/19/2013,260910,39136.5,8/19/2013
"Litware, Inc.",57234,7,384,7185,8/19/2013,30991.6,4648.74,8/19/2013
"Fabrikam, Inc.",57239,4,385,1696,8/19/2013,1704,255.6,8/19/2013
"Litware, Inc.",57241,7,386,9335,8/19/2013,680,102,8/19/2013
"Fabrikam, Inc.",57417,4,387,1155,8/20/2013,260694,39104.1,8/26/2013
"Litware, Inc.",57420,7,388,4458,8/20/2013,31101.2,4665.18,8/26/2013
"Fabrikam, Inc.",57798,4,389,4037,8/21/2013,267498,40124.7,8/26/2013
"Litware, Inc.",57801,7,390,6846,8/21/2013,35543.2,5331.48,8/26/2013
"Fabrikam, Inc.",58162,4,391,957,8/22/2013,269778,40466.7,8/26/2013
"Litware, Inc.",58165,7,392,5655,8/22/2013,37248.8,5587.32,8/26/2013
"Fabrikam, Inc.",58369,4,393,6648,8/23/2013,269034,40355.1,8/26/2013
"Litware, Inc.",58372,7,394,540,8/23/2013,36832,5524.8,8/26/2013
"Fabrikam, Inc.",58696,4,395,954,8/26/2013,268194,40229.1,8/26/2013
"Litware, Inc.",58699,7,396,3143,8/26/2013,36722.4,5508.36,8/26/2013
"Fabrikam, Inc.",58701,4,397,3460,8/26/2013,672,100.8,8/26/2013
"Litware, Inc.",58704,7,398,3310,8/26/2013,855.6,128.34,8/26/2013
"Fabrikam, Inc.",59012,4,399,7463,8/27/2013,270126,40518.9,9/2/2013
"Litware, Inc.",59015,7,400,3280,8/27/2013,38351.2,5752.68,9/2/2013
"Fabrikam, Inc.",59276,4,401,8970,8/28/2013,271254,40688.1,9/2/2013
"Litware, Inc.",59279,7,402,5991,8/28/2013,39464.4,5919.66,9/2/2013
"Fabrikam, Inc.",59643,4,403,1030,8/29/2013,271602,40740.3,9/2/2013
"Litware, Inc.",59646,7,404,2688,8/29/2013,39047.6,5857.14,9/2/2013
"Fabrikam, Inc.",59890,4,405,1090,8/30/2013,271896,40784.4,9/2/2013
"Litware, Inc.",59893,7,406,6240,8/30/2013,40670.8,6100.62,9/2/2013
"Fabrikam, Inc.",60349,4,407,7990,9/2/2013,273060,40959,9/2/2013
"Litware, Inc.",60352,7,408,7900,9/2/2013,40254,6038.1,9/2/2013
"Fabrikam, Inc.",60354,4,409,2747,9/2/2013,576,86.4,9/2/2013
"Litware, Inc.",60357,7,410,2968,9/2/2013,570.4,85.56,9/2/2013
"Fabrikam, Inc.",60526,4,411,9,9/3/2013,272244,40836.6,9/9/2013
"Litware, Inc.",60529,7,412,6154,9/3/2013,42447.6,6367.14,9/9/2013
"Fabrikam, Inc.",60810,4,413,2357,9/4/2013,273360,41004,9/9/2013
"Litware, Inc.",60813,7,414,6136,9/4/2013,42902.8,6435.42,9/9/2013
"Fabrikam, Inc.",61142,4,415,9560,9/5/2013,276138,41420.7,9/9/2013
"Litware, Inc.",61145,7,416,2568,9/5/2013,42486,6372.9,9/9/2013
"Fabrikam, Inc.",61553,4,417,2190,9/6/2013,283824,42573.6,9/9/2013
"Litware, Inc.",61556,7,418,5152,9/6/2013,42069.2,6310.38,9/9/2013
"Fabrikam, Inc.",61982,4,419,9990,9/9/2013,286884,43032.6,9/9/2013
"Litware, Inc.",61985,7,420,2792,9/9/2013,42562.8,6384.42,9/9/2013
"Fabrikam, Inc.",61989,4,421,9052,9/9/2013,2184,327.6,9/9/2013
"Fabrikam, Inc.",62205,4,422,7865,9/10/2013,292020,43803,9/16/2013
"Litware, Inc.",62208,7,423,2376,9/10/2013,44323.2,6648.48,9/16/2013
"Fabrikam, Inc.",62637,4,424,6335,9/11/2013,293646,44046.9,9/16/2013
"Litware, Inc.",62640,7,425,2370,9/11/2013,44762,6714.3,9/16/2013
"Fabrikam, Inc.",62939,4,426,385,9/12/2013,292860,43929,9/16/2013
"Litware, Inc.",62942,7,427,6489,9/12/2013,44515.2,6677.28,9/16/2013
"Fabrikam, Inc.",63225,4,428,3567,9/13/2013,293526,44028.9,9/16/2013
"Litware, Inc.",63228,7,429,9991,9/13/2013,45348.8,6802.32,9/16/2013
"Fabrikam, Inc.",63608,4,430,3636,9/16/2013,295254,44288.1,9/16/2013
"Litware, Inc.",63611,7,431,3286,9/16/2013,44932,6739.8,9/16/2013
"Fabrikam, Inc.",63615,4,432,2226,9/16/2013,1398,209.7,9/16/2013
"Fabrikam, Inc.",64029,4,433,5700,9/17/2013,300822,45123.3,9/23/2013
"Litware, Inc.",64032,7,434,1847,9/17/2013,44444,6666.6,9/23/2013
"Fabrikam, Inc.",64343,4,435,5892,9/18/2013,302886,45432.9,9/23/2013
"Litware, Inc.",64346,7,436,387,9/18/2013,45710.8,6856.62,9/23/2013
"Fabrikam, Inc.",64745,4,437,6712,9/19/2013,305994,45899.1,9/23/2013
"Litware, Inc.",64748,7,438,6368,9/19/2013,46692.4,7003.86,9/23/2013
"Fabrikam, Inc.",65185,4,439,6081,9/20/2013,310644,46596.6,9/23/2013
"Litware, Inc.",65188,7,440,1389,9/20/2013,46467.6,6970.14,9/23/2013
"Fabrikam, Inc.",65500,4,441,1748,9/23/2013,311232,46684.8,9/23/2013
"Litware, Inc.",65503,7,442,8400,9/23/2013,46390.8,6958.62,9/23/2013
"Fabrikam, Inc.",65505,4,443,5419,9/23/2013,1344,201.6,9/23/2013
"Fabrikam, Inc.",65903,4,444,246,9/24/2013,312252,46837.8,9/30/2013
"Litware, Inc.",65906,7,445,8823,9/24/2013,47087.2,7063.08,9/30/2013
"Fabrikam, Inc.",66306,4,446,8863,9/25/2013,319176,47876.4,9/30/2013
"Litware, Inc.",66309,7,447,9810,9/25/2013,49450.8,7417.62,9/30/2013
"Fabrikam, Inc.",66729,4,448,1418,9/26/2013,319728,47959.2,9/30/2013
"Litware, Inc.",66732,7,449,1996,9/26/2013,50174.8,7526.22,9/30/2013
"Fabrikam, Inc.",67009,4,450,8377,9/27/2013,320592,48088.8,9/30/2013
"Litware, Inc.",67012,7,451,2348,9/27/2013,50931.6,7639.74,9/30/2013
"Fabrikam, Inc.",67448,4,452,6437,9/30/2013,323166,48474.9,9/30/2013
"Litware, Inc.",67451,7,453,1851,9/30/2013,50514.8,7577.22,9/30/2013
"Litware, Inc.",67453,7,454,9228,9/30/2013,1530,229.5,9/30/2013
"Fabrikam, Inc.",67686,4,455,7119,10/1/2013,321990,48298.5,10/7/2013
"Litware, Inc.",67689,7,456,280,10/1/2013,52165.6,7824.84,10/7/2013
"Fabrikam, Inc.",68114,4,457,3685,10/2/2013,323220,48483,10/7/2013
"Litware, Inc.",68117,7,458,2179,10/2/2013,54189.2,8128.38,10/7/2013
"Fabrikam, Inc.",68344,4,459,5408,10/3/2013,321804,48270.6,10/7/2013
"Litware, Inc.",68347,7,460,6495,10/3/2013,53772.4,8065.86,10/7/2013
"Fabrikam, Inc.",68516,4,461,4432,10/4/2013,323514,48527.1,10/7/2013
"Litware, Inc.",68519,7,462,9087,10/4/2013,53871.2,8080.68,10/7/2013
"Fabrikam, Inc.",68889,4,463,4587,10/7/2013,323604,48540.6,10/7/2013
"Litware, Inc.",68892,7,464,295,10/7/2013,55500,8325,10/7/2013
"Fabrikam, Inc.",68897,4,465,2005,10/7/2013,2310,346.5,10/7/2013
"Litware, Inc.",68899,7,466,5293,10/7/2013,1360,204,10/7/2013
"Fabrikam, Inc.",69140,4,467,50,10/8/2013,327564,49134.6,10/14/2013
"Litware, Inc.",69143,7,468,23,10/8/2013,56289.6,8443.44,10/14/2013
"Fabrikam, Inc.",69390,4,469,1511,10/9/2013,330156,49523.4,10/14/2013
"Litware, Inc.",69393,7,470,7114,10/9/2013,58768.4,8815.26,10/14/2013
"Fabrikam, Inc.",69665,4,471,5027,10/10/2013,331008,49651.2,10/14/2013
"Litware, Inc.",69668,7,472,8631,10/10/2013,61055.2,9158.28,10/14/2013
"Fabrikam, Inc.",70054,4,473,6444,10/11/2013,332898,49934.7,10/14/2013
"Litware, Inc.",70057,7,474,9778,10/11/2013,61115.6,9167.34,10/14/2013
"Fabrikam, Inc.",70493,4,475,2247,10/14/2013,335466,50319.9,10/14/2013
"Litware, Inc.",70496,7,476,2363,10/14/2013,60929.2,9139.38,10/14/2013
"Fabrikam, Inc.",70500,4,477,2799,10/14/2013,2208,331.2,10/14/2013
"Fabrikam, Inc.",70758,4,478,1773,10/15/2013,338484,50772.6,10/21/2013
"Litware, Inc.",70761,7,479,1341,10/15/2013,60095.6,9014.34,10/21/2013
"Fabrikam, Inc.",71115,4,480,3747,10/16/2013,341298,51194.7,10/21/2013
"Litware, Inc.",71118,7,481,1011,10/16/2013,59947.6,8992.14,10/21/2013
"Fabrikam, Inc.",71337,4,482,6509,10/17/2013,343032,51454.8,10/21/2013
"Litware, Inc.",71340,7,483,2033,10/17/2013,61230.8,9184.62,10/21/2013
"Fabrikam, Inc.",71613,4,484,1858,10/18/2013,345084,51762.6,10/21/2013
"Litware, Inc.",71616,7,485,2604,10/18/2013,60814,9122.1,10/21/2013
"Fabrikam, Inc.",72040,4,486,9263,10/21/2013,345084,51762.6,10/21/2013
"Litware, Inc.",72043,7,487,9438,10/21/2013,60567.2,9085.08,10/21/2013
"Fabrikam, Inc.",72046,4,488,7632,10/21/2013,822,123.3,10/21/2013
"Litware, Inc.",72049,7,489,4116,10/21/2013,1003.6,150.54,10/21/2013
"Fabrikam, Inc.",72370,4,490,8890,10/22/2013,346470,51970.5,10/28/2013
"Litware, Inc.",72373,7,491,5606,10/22/2013,61154,9173.1,10/28/2013
"Fabrikam, Inc.",72691,4,492,7345,10/23/2013,347118,52067.7,10/28/2013
"Litware, Inc.",72694,7,493,1763,10/23/2013,62859.6,9428.94,10/28/2013
"Fabrikam, Inc.",72880,4,494,1840,10/24/2013,347226,52083.9,10/28/2013
"Litware, Inc.",72883,7,495,5592,10/24/2013,62788.4,9418.26,10/28/2013
"Fabrikam, Inc.",73257,4,496,139,10/25/2013,348306,52245.9,10/28/2013
"Litware, Inc.",73260,7,497,6640,10/25/2013,63989.6,9598.44,10/28/2013
"Fabrikam, Inc.",73884,4,498,5480,10/28/2013,350964,52644.6,10/28/2013
"Litware, Inc.",73887,7,499,7670,10/28/2013,65843.2,9876.48,10/28/2013
"Fabrikam, Inc.",73893,4,500,2371,10/28/2013,3996,599.4,10/28/2013
"Litware, Inc.",73896,7,501,1817,10/28/2013,1475.2,221.28,10/28/2013
"Fabrikam, Inc.",74225,4,502,9968,10/29/2013,357828,53674.2,11/4/2013
"Litware, Inc.",74228,7,503,2678,10/29/2013,67927.2,10189.08,11/4/2013
"Fabrikam, Inc.",74565,4,504,3744,10/30/2013,358542,53781.3,11/4/2013
"Litware, Inc.",74568,7,505,17,10/30/2013,67510.4,10126.56,11/4/2013
"Fabrikam, Inc.",74906,4,506,4618,10/31/2013,359982,53997.3,11/4/2013
"Litware, Inc.",74909,7,507,8267,10/31/2013,70153.6,10523.04,11/4/2013
"Fabrikam, Inc.",75178,4,508,5016,11/1/2013,360390,54058.5,11/4/2013
"Litware, Inc.",75181,7,509,3314,11/1/2013,69736.8,10460.52,11/4/2013
"Fabrikam, Inc.",75552,4,510,551,11/4/2013,361470,54220.5,11/4/2013
"Litware, Inc.",75555,7,511,7939,11/4/2013,69512,10426.8,11/4/2013
"Fabrikam, Inc.",75559,4,512,5561,11/4/2013,1440,216,11/4/2013
"Litware, Inc.",75561,7,513,6567,11/4/2013,680,102,11/4/2013
"Fabrikam, Inc.",75843,4,514,6839,11/5/2013,362562,54384.3,11/11/2013
"Litware, Inc.",75846,7,515,1702,11/5/2013,71305.2,10695.78,11/11/2013
"Fabrikam, Inc.",76050,4,516,2084,11/6/2013,363414,54512.1,11/11/2013
"Litware, Inc.",76053,7,517,6974,11/6/2013,71398.4,10709.76,11/11/2013
"Fabrikam, Inc.",76456,4,518,1699,11/7/2013,364830,54724.5,11/11/2013
"Litware, Inc.",76459,7,519,9447,11/7/2013,74891.6,11233.74,11/11/2013
"Fabrikam, Inc.",76673,4,520,8684,11/8/2013,365214,54782.1,11/11/2013
"Litware, Inc.",76676,7,521,7929,11/8/2013,74474.8,11171.22,11/11/2013
"Fabrikam, Inc.",77132,4,522,9658,11/11/2013,368808,55321.2,11/11/2013
"Litware, Inc.",77135,7,523,4441,11/11/2013,74326.8,11149.02,11/11/2013
"Fabrikam, Inc.",77138,4,524,3686,11/11/2013,2304,345.6,11/11/2013
"Fabrikam, Inc.",77345,4,525,4130,11/12/2013,371052,55657.8,11/18/2013
"Litware, Inc.",77348,7,526,1129,11/12/2013,74650.4,11197.56,11/18/2013
"Fabrikam, Inc.",77568,4,527,7510,11/13/2013,372792,55918.8,11/18/2013
"Litware, Inc.",77571,7,528,6642,11/13/2013,76032.4,11404.86,11/18/2013
"Fabrikam, Inc.",77992,4,529,3204,11/14/2013,373218,55982.7,11/18/2013
"Litware, Inc.",77995,7,530,8656,11/14/2013,77019.6,11552.94,11/18/2013
"Fabrikam, Inc.",78262,4,531,7471,11/15/2013,372822,55923.3,11/18/2013
"Litware, Inc.",78265,7,532,7948,11/15/2013,76679.6,11501.94,11/18/2013
"Fabrikam, Inc.",78792,4,533,672,11/18/2013,376830,56524.5,11/18/2013
"Litware, Inc.",78795,7,534,6180,11/18/2013,78626.4,11793.96,11/18/2013
"Fabrikam, Inc.",78799,4,535,8369,11/18/2013,1128,169.2,11/18/2013
"Fabrikam, Inc.",79204,4,536,1610,11/19/2013,381300,57195,11/25/2013
"Litware, Inc.",79207,7,537,1838,11/19/2013,79366.8,11905.02,11/25/2013
"Fabrikam, Inc.",79541,4,538,8882,11/20/2013,384516,57677.4,11/25/2013
"Litware, Inc.",79544,7,539,4407,11/20/2013,83512.8,12526.92,11/25/2013
"Fabrikam, Inc.",79924,4,540,3000,11/21/2013,387810,58171.5,11/25/2013
"Litware, Inc.",79927,7,541,3902,11/21/2013,85816,12872.4,11/25/2013
"Fabrikam, Inc.",80343,4,542,5413,11/22/2013,390186,58527.9,11/25/2013
"Litware, Inc.",80346,7,543,8229,11/22/2013,86759.2,13013.88,11/25/2013
"Fabrikam, Inc.",80623,4,544,3479,11/25/2013,392220,58833,11/25/2013
"Litware, Inc.",80626,7,545,9339,11/25/2013,86726.4,13008.96,11/25/2013
"Fabrikam, Inc.",80628,4,546,9131,11/25/2013,252,37.8,11/25/2013
"Fabrikam, Inc.",80950,4,547,8674,11/26/2013,391332,58699.8,12/2/2013
"Litware, Inc.",80953,7,548,9031,11/26/2013,86276.8,12941.52,12/2/2013
"Fabrikam, Inc.",81378,4,549,4103,11/27/2013,392172,58825.8,12/2/2013
"Litware, Inc.",81381,7,550,9946,11/27/2013,88223.6,13233.54,12/2/2013
"Fabrikam, Inc.",81583,4,551,49,11/28/2013,391524,58728.6,12/2/2013
"Litware, Inc.",81586,7,552,731,11/28/2013,89166.8,13375.02,12/2/2013
"Fabrikam, Inc.",81986,4,553,6554,11/29/2013,393270,58990.5,12/2/2013
"Litware, Inc.",81989,7,554,2103,11/29/2013,89770,13465.5,12/2/2013
"Fabrikam, Inc.",82366,4,555,5425,12/2/2013,394446,59166.9,12/2/2013
"Litware, Inc.",82369,7,556,1082,12/2/2013,91053.2,13657.98,12/2/2013
"Fabrikam, Inc.",82371,4,557,886,12/2/2013,168,25.2,12/2/2013
"Fabrikam, Inc.",82734,4,558,341,12/3/2013,399294,59894.1,12/9/2013
"Litware, Inc.",82737,7,559,8807,12/3/2013,92599.6,13889.94,12/9/2013
"Fabrikam, Inc.",83180,4,560,4098,12/4/2013,400392,60058.8,12/9/2013
"Litware, Inc.",83183,7,561,6485,12/4/2013,94009.2,14101.38,12/9/2013
"Fabrikam, Inc.",83481,4,562,9910,12/5/2013,402192,60328.8,12/9/2013
"Litware, Inc.",83484,7,563,3816,12/5/2013,95144.4,14271.66,12/9/2013
"Fabrikam, Inc.",83769,4,564,6124,12/6/2013,403152,60472.8,12/9/2013
"Litware, Inc.",83772,7,565,2688,12/6/2013,95413.2,14311.98,12/9/2013
"Fabrikam, Inc.",84242,4,566,5680,12/9/2013,405636,60845.4,12/9/2013
"Litware, Inc.",84245,7,567,3312,12/9/2013,97036.4,14555.46,12/9/2013
"Fabrikam, Inc.",84605,4,568,9432,12/10/2013,407460,61119,12/16/2013
"Litware, Inc.",84608,7,569,7267,12/10/2013,97272.4,14590.86,12/16/2013
"Fabrikam, Inc.",84821,4,570,9113,12/11/2013,406800,61020,12/16/2013
"Litware, Inc.",84824,7,571,5438,12/11/2013,96855.6,14528.34,12/16/2013
"Fabrikam, Inc.",85015,4,572,4772,12/12/2013,406836,61025.4,12/16/2013
"Litware, Inc.",85018,7,573,183,12/12/2013,96822.8,14523.42,12/16/2013
"Fabrikam, Inc.",85187,4,574,4291,12/13/2013,408282,61242.3,12/16/2013
"Litware, Inc.",85190,7,575,6192,12/13/2013,96406,14460.9,12/16/2013
"Fabrikam, Inc.",85554,4,576,9791,12/16/2013,407994,61199.1,12/16/2013
"Litware, Inc.",85557,7,577,4335,12/16/2013,98336.4,14750.46,12/16/2013
"Fabrikam, Inc.",85559,4,578,7241,12/16/2013,900,135,12/16/2013
"Fabrikam, Inc.",85810,4,579,3777,12/17/2013,410286,61542.9,12/23/2013
"Litware, Inc.",85813,7,580,9049,12/17/2013,97502.8,14625.42,12/23/2013
"Fabrikam, Inc.",86182,4,581,6690,12/18/2013,413298,61994.7,12/23/2013
"Litware, Inc.",86185,7,582,5720,12/18/2013,97777.2,14666.58,12/23/2013
"Fabrikam, Inc.",86385,4,583,3036,12/19/2013,413682,62052.3,12/23/2013
"Litware, Inc.",86388,7,584,5010,12/19/2013,97360.4,14604.06,12/23/2013
"Fabrikam, Inc.",86749,4,585,9799,12/20/2013,416436,62465.4,12/23/2013
"Litware, Inc.",86752,7,586,4202,12/20/2013,100168.4,15025.26,12/23/2013
"Fabrikam, Inc.",87123,4,587,8577,12/23/2013,415692,62353.8,12/23/2013
"Litware, Inc.",87126,7,588,5075,12/23/2013,100322,15048.3,12/23/2013
"Fabrikam, Inc.",87128,4,589,7883,12/23/2013,672,100.8,12/23/2013
"Litware, Inc.",87130,7,590,4358,12/23/2013,340,51,12/23/2013
"Fabrikam, Inc.",87420,4,591,125,12/24/2013,416664,62499.6,12/30/2013
"Litware, Inc.",87423,7,592,580,12/24/2013,102471.6,15370.74,12/30/2013
"Fabrikam, Inc.",87792,4,593,6316,12/25/2013,419304,62895.6,12/30/2013
"Litware, Inc.",87795,7,594,1263,12/25/2013,102054.8,15308.22,12/30/2013
"Fabrikam, Inc.",88119,4,595,460,12/26/2013,419808,62971.2,12/30/2013
"Litware, Inc.",88122,7,596,4298,12/26/2013,102702,15405.3,12/30/2013
"Fabrikam, Inc.",88352,4,597,8445,12/27/2013,420402,63060.3,12/30/2013
"Litware, Inc.",88355,7,598,8770,12/27/2013,104835.2,15725.28,12/30/2013
"Fabrikam, Inc.",88863,4,599,1360,12/30/2013,422610,63391.5,12/30/2013
"Litware, Inc.",88866,7,600,7516,12/30/2013,104610.4,15691.56,12/30/2013
"Fabrikam, Inc.",88868,4,601,1965,12/30/2013,384,57.6,12/30/2013
"Fabrikam, Inc.",89152,4,602,4981,12/31/2013,422070,63310.5,1/6/2014
"Litware, Inc.",89155,7,603,7299,12/31/2013,103776.8,15566.52,1/6/2014
"Fabrikam, Inc.",89564,4,604,2732,1/1/2014,423120,63468,1/6/2014
"Litware, Inc.",89567,7,605,3713,1/1/2014,103360,15504,1/6/2014
"Fabrikam, Inc.",90006,4,606,9730,1/2/2014,424728,63709.2,1/6/2014
"Litware, Inc.",90009,7,607,6232,1/2/2014,104232,15634.8,1/6/2014
"Fabrikam, Inc.",90286,4,608,3258,1/3/2014,424212,63631.8,1/6/2014
"Litware, Inc.",90289,7,609,7340,1/3/2014,103815.2,15572.28,1/6/2014
"Fabrikam, Inc.",90852,4,610,2296,1/6/2014,425934,63890.1,1/6/2014
"Litware, Inc.",90855,7,611,4652,1/6/2014,106332.4,15949.86,1/6/2014
"Fabrikam, Inc.",90858,4,612,8304,1/6/2014,1260,189,1/6/2014
"Fabrikam, Inc.",91130,4,613,109,1/7/2014,427194,64079.1,1/13/2014
"Litware, Inc.",91133,7,614,1341,1/7/2014,105498.8,15824.82,1/13/2014
"Fabrikam, Inc.",91407,4,615,2031,1/8/2014,428130,64219.5,1/13/2014
"Litware, Inc.",91410,7,616,2485,1/8/2014,106650.4,15997.56,1/13/2014
"Fabrikam, Inc.",91622,4,617,3777,1/9/2014,427050,64057.5,1/13/2014
"Litware, Inc.",91625,7,618,9647,1/9/2014,107763.6,16164.54,1/13/2014
"Fabrikam, Inc.",91815,4,619,5550,1/10/2014,427170,64075.5,1/13/2014
"Litware, Inc.",91818,7,620,5433,1/10/2014,109216.8,16382.52,1/13/2014
"Fabrikam, Inc.",92434,4,621,7634,1/13/2014,430404,64560.6,1/13/2014
"Litware, Inc.",92437,7,622,6567,1/13/2014,108800,16320,1/13/2014
"Fabrikam, Inc.",92439,4,623,9940,1/13/2014,840,126,1/13/2014
"Fabrikam, Inc.",92724,4,624,9407,1/14/2014,431232,64684.8,1/20/2014
"Litware, Inc.",92727,7,625,9532,1/14/2014,108854.8,16328.22,1/20/2014
"Fabrikam, Inc.",92925,4,626,3790,1/15/2014,431100,64665,1/20/2014
"Litware, Inc.",92928,7,627,2869,1/15/2014,109842,16476.3,1/20/2014
"Fabrikam, Inc.",93392,4,628,5016,1/16/2014,432276,64841.4,1/20/2014
"Litware, Inc.",93395,7,629,7761,1/16/2014,113308,16996.2,1/20/2014
"Fabrikam, Inc.",93742,4,630,30,1/17/2014,435240,65286,1/20/2014
"Litware, Inc.",93745,7,631,7469,1/17/2014,113044.8,16956.72,1/20/2014
"Fabrikam, Inc.",94192,4,632,8574,1/20/2014,437484,65622.6,1/20/2014
"Litware, Inc.",94195,7,633,1618,1/20/2014,113478,17021.7,1/20/2014
"Fabrikam, Inc.",94201,4,634,8269,1/20/2014,2406,360.9,1/20/2014
"Litware, Inc.",94204,7,635,7897,1/20/2014,1968.8,295.32,1/20/2014
"Fabrikam, Inc.",94500,4,636,8941,1/21/2014,442674,66401.1,1/27/2014
"Litware, Inc.",94503,7,637,735,1/21/2014,118117.6,17717.64,1/27/2014
